feature,shap
obv,0.51403654
hl_spread,0.1801085
iv_skew_t2_8_30,0.16329907
option_sentiment_t2_8_30,0.122077376
oi_call_put_short,0.09869225
sma_5,0.09569393
bb_pctb_10,0.09175558
iv_mean_t1_0_7,0.090030275
option_sentiment_t4_90_plus,0.088171996
roc_5,0.08020559
amihud_lag1,0.07655849
amihud,0.06495066
iv_mean_t2_8_30,0.063051045
ret_1,0.055500604
option_sentiment_t3_31_90,0.051240925
vol_z_5_lag1,0.051122297
iv_mean_t3_31_90,0.03886665
ret_1_lag1,0.03787796
gamma_total_t4_90_plus,0.03710698
roc_5_lag1,0.035178233
option_sentiment_t1_0_7,0.029965729
rv_20_lag1,0.026884828
hl_spread_lag1,0.022105727
iv_skew_t3_31_90,0.021188993
iv_mean_t4_90_plus,0.019696765
oi_call_put_long,0.018960454
gamma_total_t2_8_30,0.018459454
sma_10_lag1,0.017332453
vol_z_20_lag1,0.016891219
rsi_14_lag1,0.016045252
atr_5_lag1,0.01599661
sma_5_lag1,0.015985742
rsi_14,0.015963014
log_ret_1_lag1,0.015831625
gamma_total_t1_0_7,0.015725173
iv_skew_t1_0_7,0.015142719
roc_10,0.014938906
bb_bw_10,0.010698396
gamma_total_t3_31_90,0.009546338
vol_z_10_lag1,0.009239164
rv_5_lag1,0.009154473
atr_10_lag1,0.008965359
roc_20_lag1,0.0084226215
bb_pctb_10_lag1,0.007941163
obv_lag1,0.0078300815
iv_skew_t4_90_plus,0.0077369404
roc_10_lag1,0.007603675
log_ret_1,0.007563867
sma_20,0.0074864984
vol_z_5,0.006923717
ema_10_lag1,0.006738896
ema_5,0.0066025364
rv_10,0.006400706
bb_bw_10_lag1,0.006054014
rv_5,0.0044132336
ema_10,0.003901913
dow_1,0.00384668
rv_20,0.0037841254
ema_20_lag1,0.0037656364
vol_z_10,0.0029127793
ema_20,0.002185665
atr_20,0.0016365972
sma_10,0.0015452224
roc_20,0.0
sma_20_lag1,0.0
atr_20_lag1,0.0
atr_60_lag1,0.0
rv_60_lag1,0.0
vol_z_60,0.0
sma_60_lag1,0.0
ema_60_lag1,0.0
roc_60_lag1,0.0
vol_z_60_lag1,0.0
mdd_60_lag1,0.0
macd_signal_lag1,0.0
macd_hist_lag1,0.0
dow_0,0.0
dow_2,0.0
dow_3,0.0
dow_4,0.0
dow_5,0.0
dow_6,0.0
atr_10,0.0
atr_5,0.0
macd_lag1,0.0
vol_z_20,0.0
rv_10_lag1,0.0
atr_5_nz,0.0
roc_10_nz,0.0
ema_10_nz,0.0
sma_10_nz,0.0
atr_10_nz,0.0
rv_10_nz,0.0
vol_z_5_nz,0.0
roc_5_nz,0.0
ema_5_nz,0.0
sma_5_nz,0.0
rv_5_nz,0.0
rv_20_nz,0.0
log_ret_1_nz,0.0
ret_1_nz,0.0
macd_hist,0.0
macd_signal,0.0
macd,0.0
mdd_60,0.0
sma_60,0.0
ema_60,0.0
roc_60,0.0
vol_z_10_nz,0.0
atr_20_nz,0.0
rv_60,0.0
bb_bw_10_nz,0.0
ema_5_lag1,0.0
atr_60,0.0
macd_hist_nz,0.0
macd_signal_nz,0.0
macd_nz,0.0
rsi_14_nz,0.0
mdd_60_nz,0.0
hl_spread_nz,0.0
obv_nz,0.0
bb_pctb_10_nz,0.0
sma_20_nz,0.0
vol_z_60_nz,0.0
roc_60_nz,0.0
ema_60_nz,0.0
sma_60_nz,0.0
atr_60_nz,0.0
rv_60_nz,0.0
vol_z_20_nz,0.0
roc_20_nz,0.0
ema_20_nz,0.0
amihud_nz,0.0
